OUTPUT:

Vasicek optimized parameters: a = 0.0018759731562042567, b = 2.5811470673215773, sigma = 0.056765551548106426
CIR optimized parameters: a = 0.0018759731562042418, b = 2.581146487427231, sigma = 0.05676555154810597

      Date  Actual_IR  Predicted_IR_Vasicek  Predicted_IR_CIR  Vasicek_volatility  CIR_volatility
2022-01-24       1.75              0.959553          2.209673            0.790447        0.459673
2022-01-25       1.78              0.984130          2.107314            0.795870        0.327314
2022-01-26       1.85              1.077634          2.113409            0.772366        0.263409
2022-01-27       1.81              1.156745          2.090961            0.653255        0.280961
2022-01-28       1.78              1.081430          2.094427            0.698570        0.314427
2022-01-31       1.79              1.082901          2.158489            0.707099        0.368489
2022-02-01       1.81              1.035389          2.110764            0.774611        0.300764
2022-02-02       1.78              1.034810          2.028943            0.745190        0.248943
2022-02-03       1.82              1.115053          2.110025            0.704947        0.290025
2022-02-04       1.93              1.073084          2.045225            0.856916        0.115225
2022-02-07       1.92              0.958156          2.128500            0.961844        0.208500
2022-02-08       1.96              0.991881          2.066223            0.968119        0.106223
2022-02-09       1.94              0.995648          2.001702            0.944352        0.061702
2022-02-10       2.03              1.008035          2.066153            1.021965        0.036153
2022-02-11       1.92              0.973763          2.050118            0.946237        0.130118
2022-02-14       1.98              1.049879          1.939595            0.930121        0.040405
2022-02-15       2.05              1.091762          1.963052            0.958238        0.086948
2022-02-16       2.03              1.063543          1.957768            0.966457        0.072232
2022-02-17       1.97              1.102859          1.848971            0.867141        0.121029
2022-02-18       1.92              1.109474          1.825072            0.810526        0.094928
2022-02-22       1.94              1.090638          1.784574            0.849362        0.155426
2022-02-23       1.99              1.062727          1.805616            0.927273        0.184384
2022-02-24       1.96              0.980372          1.758488            0.979628        0.201512
2022-02-25       1.97              0.959205          1.848587            1.010795        0.121413
2022-02-28       1.83              0.973256          1.941890            0.856744        0.111890
2022-03-01       1.72              0.957340          1.903427            0.762660        0.183427
2022-03-02       1.86              0.926041          1.918587            0.933959        0.058587
2022-03-03       1.86              0.885314          1.952019            0.974686        0.092019
2022-03-04       1.74              0.998274          1.894861            0.741726        0.154861
2022-03-07       1.78              1.093008          1.796697            0.686992        0.016697
2022-03-08       1.86              1.075142          1.904700            0.784858        0.044700
2022-03-09       1.94              1.022156          1.914369            0.917844        0.025631
2022-03-10       1.98              0.999819          1.901466            0.980181        0.078534
2022-03-11       2.00              1.004939          1.905183            0.995061        0.094817
2022-03-14       2.14              0.967173          1.897216            1.172827        0.242784
2022-03-15       2.15              0.929764          1.876286            1.220236        0.273714
2022-03-16       2.19              0.946295          1.865964            1.243705        0.324036
2022-03-17       2.20              0.876137          1.783483            1.323863        0.416517
2022-03-18       2.14              0.821361          1.780748            1.318639        0.359252
2022-03-21       2.32              0.830008          1.863956            1.489992        0.456044
2022-03-22       2.38              0.724439          1.857928            1.655561        0.522072
2022-03-23       2.32              0.779358          1.803331            1.540642        0.516669
2022-03-24       2.34              0.660737          1.766012            1.679263        0.573988
2022-03-25       2.48              0.692351          1.609672            1.787649        0.870328
2022-03-28       2.46              0.697784          1.458879            1.762216        1.001121
2022-03-29       2.41              0.806852          1.382489            1.603148        1.027511
2022-03-30       2.35              0.729775          1.402450            1.620225        0.947550
2022-03-31       2.32              0.708223          1.453775            1.611777        0.866225
2022-04-01       2.39              0.714123          1.338707            1.675877        1.051293
2022-04-04       2.42              0.647254          1.377538            1.772746        1.042462
2022-04-05       2.54              0.683920          1.471776            1.856080        1.068224
2022-04-06       2.61              0.757012          1.506004            1.852988        1.103996
2022-04-07       2.66              0.766109          1.546628            1.893891        1.113372
2022-04-08       2.72              0.754634          1.622174            1.965366        1.097826
2022-04-11       2.79              0.805402          1.676312            1.984598        1.113688
2022-04-12       2.72              0.734847          1.683747            1.985153        1.036253
2022-04-13       2.70              0.666188          1.639649            2.033812        1.060351
2022-04-14       2.83              0.752207          1.639679            2.077793        1.190321
2022-04-18       2.85              0.684758          1.617142            2.165242        1.232858
2022-04-19       2.93              0.728784          1.588155            2.201216        1.341845
2022-04-20       2.85              0.660635          1.578034            2.189365        1.271966
2022-04-21       2.90              0.638985          1.546135            2.261015        1.353865
2022-04-22       2.90              0.592576          1.608442            2.307424        1.291558
2022-04-25       2.81              0.640030          1.525104            2.169970        1.284896
2022-04-26       2.77              0.678318          1.614420            2.091682        1.155580
2022-04-27       2.82              0.656778          1.686521            2.163222        1.133479
2022-04-28       2.85              0.625602          1.725793            2.224398        1.124207
2022-04-29       2.89              0.818417          1.664570            2.071583        1.225430
2022-05-02       2.99              0.735378          1.623521            2.254622        1.366479
2022-05-03       2.97              0.749004          1.568385            2.220996        1.401615
2022-05-04       2.93              0.770693          1.593984            2.159307        1.336016
2022-05-05       3.05              0.715561          1.564788            2.334439        1.485212
2022-05-06       3.12              0.785939          1.580933            2.334061        1.539067
2022-05-09       3.05              0.768725          1.689429            2.281275        1.360571
2022-05-10       2.99              0.843335          1.664959            2.146665        1.325041
2022-05-11       2.91              0.900398          1.620525            2.009602        1.289475
2022-05-12       2.84              0.840447          1.548846            1.999553        1.291154
2022-05-13       2.93              0.887954          1.560728            2.042046        1.369272
2022-05-16       2.88              0.883147          1.421705            1.996853        1.458295
2022-05-17       2.98              0.893854          1.409211            2.086146        1.570789
2022-05-18       2.89              0.874553          1.335633            2.015447        1.554367
